band_name,fans,formed,origin,split,style,soup
Hexis,3,2010,Denmark,2010,Black Hardcore,Black Hardcore Denmark
High Priest Of Saturn,3,2011,Norway,-,Doom Stoner Psychedelic rock,Doom Stoner Psychedelic rock Norway
High Spirits,3,2009,USA,2009,Hard rock Heavy,Hard rock Heavy USA
Horizon Ablaze,3,2008,Norway,-,Death,Death Norway
Houwitser,3,1997,The Netherlands,1997,Death,Death The Netherlands
Hybris,3,2010,United Kingdom,-,Progressive thrash,Progressive thrash United Kingdom
Hyems,3,2000,Germany,2000,Melodic black,Melodic black Germany
Ian Gillan,3,1982,United Kingdom,-,Hard rock Pop rock Blues rock,Hard rock Pop rock Blues rock United Kingdom
Implant Pentru Refuz,3,1995,Romania,1995,Hardcore Metalcore,Hardcore Metalcore Romania
In Twilight's Embrace,3,2005,Poland,-,Metalcore Melodic death Death,Metalcore Melodic death Death Poland
Infera Bruo,3,2009,USA,2009,Progressive black,Progressive black USA
Inspell,3,2003,Bulgaria,-,Symphonic black,Symphonic black Bulgaria
Iron Hearse,3,2002,United Kingdom,2002,Doom,Doom United Kingdom
Jaded Star,3,2013,Greece,-,Melodic power,Melodic power Greece
Kenziner,3,1997,Finland,1997,Power,Power Finland
Kinetik,3,2007,USA,-,Industrial Groove thrash,Industrial Groove thrash USA
Kowloon Walled City,3,2007,USA,2007,Sludge,Sludge USA
L'Esprit Du Clan,3,1992,France,-,Metalcore,Metalcore France
Last Sacrament,3,2005,USA,2005,Death,Death USA
Laster,3,2012,The Netherlands,-,Atmospheric black,Atmospheric black The Netherlands
Latitude Egress,3,2007,Germany,2007,Black Funeral doom Atmospheric doom,Black Funeral doom Atmospheric doom Germany
Lechery,3,2004,Sweden,-,Heavy,Heavy Sweden
Lefay,3,1997,Sweden,1997,Power Thrash,Power Thrash Sweden
Let Me Dream,3,1989,Finland,-,Gothic doom,Gothic doom Finland
Lightning,3,2002,Japan,-,Heavy Power,Heavy Power Japan
Lorn,3,1999,Italy,1999,Black,Black Italy
Loss,3,2000,Sweden,-,Death,Death Sweden
Lothlöryen,3,2002,Brazil,2002,Melodic power Folk,Melodic power Folk Brazil
Love Lies Bleeding,3,1996,France,2008,Atmospheric black Doom,Atmospheric black Doom France
Magister Templi,3,2008,Norway,2008,Hard rock Heavy Doom,Hard rock Heavy Doom Norway
Majster Kat,3,2001,Slovak Republic,-,Thrash,Thrash Slovak Republic
Makrothumia,3,1994,Romania,1994,Death doom Progressive,Death doom Progressive Romania
Mandator,3,1987,The Netherlands,1993,Speed Thrash,Speed Thrash The Netherlands
Manitou,3,1997,Finland,1997,Progressive heavy,Progressive heavy Finland
Maveth,3,2007,Finland,-,Blackened death,Blackened death Finland
Mayze,3,2012,Germany,2012,Progressive Gothic,Progressive Gothic Germany
Medico Peste,3,2010,Poland,-,Black,Black Poland
Mefisto,3,1984,Sweden,1984,Black Death Thrash,Black Death Thrash Sweden
Menace,3,2013,United Kingdom,-,Progressive Hard rock,Progressive Hard rock United Kingdom
Mhorgl,3,2004,Australia,2004,Black,Black Australia
Middian,3,2005,USA,2008,Doom Sludge,Doom Sludge USA
Mind Odyssey,3,1993,Germany,1993,Progressive,Progressive Germany
Misery Inc.,3,2001,Finland,2008,Gothic Death,Gothic Death Finland
Morbosidad,3,1993,USA,1993,Black Death,Black Death USA
Moth,3,2011,USA,-,Melodic death Progressive,Melodic death Progressive USA
Mother Witch & Dead Water Ghosts,3,2013,Ukraine,2013,Doom Psychedelic rock,Doom Psychedelic rock Ukraine
Mystic Force,3,1986,USA,2005,Us power Progressive,Us power Progressive USA
Nachtlieder,3,2008,Sweden,2008,Black,Black Sweden
Necrite,3,2004,USA,-,Ambient black Drone,Ambient black Drone USA
Nevaloth,3,2008,Slovak Republic,2008,Atmospheric black,Atmospheric black Slovak Republic
Nevolution,3,2004,Iceland,-,Melodic death,Melodic death Iceland
Night Magic,3,2006,USA,2006,Doom,Doom USA
No-Big-Silence,3,1989,Estonia,-,Death Industrial,Death Industrial Estonia
Noisear,3,1999,USA,1999,Grindcore,Grindcore USA
Nonsun,3,2011,Ukraine,-,Drone doom Sludge,Drone doom Sludge Ukraine
Norska,3,2009,USA,2009,Doom Sludge,Doom Sludge USA
Ocean Chief,3,2001,Sweden,-,Doom Sludge Stoner,Doom Sludge Stoner Sweden
"Oh, Sleeper",3,2006,USA,2006,Metalcore,Metalcore USA
Ol Drake,3,2013,United Kingdom,-,Heavy Hard rock,Heavy Hard rock United Kingdom
Omen (HUN),3,1990,Hungary,1990,Thrash Speed,Thrash Speed Hungary
Omnerod,3,2009,Belgium,-,Extreme progressive,Extreme progressive Belgium
Ordog,3,2005,Finland,2005,Doom,Doom Finland
Oruga,3,2010,France,-,Doom Sludge Stoner,Doom Sludge Stoner France
Ostrogoth,3,1976,Belgium,1976,Heavy,Heavy Belgium
Over Your Threshold,3,2006,Germany,-,Progressive death,Progressive death Germany
P.L.F.,3,1999,USA,1999,Grindcore,Grindcore USA
Persephone's Dream,3,1993,USA,-,Progressive rock Progressive,Progressive rock Progressive USA
Perzonal War,3,1996,Germany,1996,Power Thrash,Power Thrash Germany
Phantom Winter,3,2014,Germany,-,Sludge,Sludge Germany
Planks,3,2007,Germany,2007,Blackened sludge,Blackened sludge Germany
Plateau Sigma,3,2010,Italy,-,Doom,Doom Italy
Poison Sun,3,2010,Germany,2010,Heavy,Heavy Germany
Possession,3,2012,Belgium,-,Black Death,Black Death Belgium
Posthum,3,2004,Norway,2004,Progressive black,Progressive black Norway
Primal Rock Rebellion,3,2011,United Kingdom,-,Heavy Alternative,Heavy Alternative United Kingdom
Profusion,3,2001,Italy,2001,Progressive Fusion,Progressive Fusion Italy
Prohod,3,2012,Romania,-,Atmospheric black Melodic black,Atmospheric black Melodic black Romania
Project Pain,3,2011,The Netherlands,2011,Thrash,Thrash The Netherlands
Queiron,3,1995,Brazil,-,Brutal death,Brutal death Brazil
Quest Of Aidance,3,2004,Sweden,2004,Melodic death Grindcore,Melodic death Grindcore Sweden
Ravager,3,1997,Mexico,2003,Brutal death,Brutal death Mexico
Reasons Behind,3,2010,Italy,2010,Symphonic power,Symphonic power Italy
Rendezvous Point,3,2010,Norway,-,Progressive,Progressive Norway
Resurrection Kings,3,2015,USA,2015,Hard rock,Hard rock USA
Revolted Masses,3,2008,Greece,-,Progressive death Thrash,Progressive death Thrash Greece
Rippikoulu,3,1990,Finland,1990,Death,Death Finland
RoadkillSoda,3,2011,Romania,-,Sludge Stoner,Sludge Stoner Romania
Rosae Crucis,3,1990,Italy,1990,Heavy,Heavy Italy
Sadness,3,1989,Switzerland,1998,Death doom Gothic doom,Death doom Gothic doom Switzerland
Samothrace,3,2006,USA,2006,Doom Stoner,Doom Stoner USA
Sanctimony,3,1994,Latvia,-,Death Death ' N' Roll,Death Death ' N' Roll Latvia
Saturnalia Temple,3,2006,Sweden,2006,Doom Stoner,Doom Stoner Sweden
Sear,3,2001,Finland,-,Black Death,Black Death Finland
Season's End,3,1998,United Kingdom,1998,Gothic,Gothic United Kingdom
Sektemtum,3,2009,France,-,Black,Black France
Self-Inflicted Violence,3,2007,United Kingdom,2007,Black Post-rock,Black Post-rock United Kingdom
Sengir,3,1995,Belgium,2007,Gothic Death doom,Gothic Death doom Belgium
Sepia Dreamer,3,2003,Sweden,2003,Progressive,Progressive Sweden
Septic Mind,3,2006,Russia,-,Funeral doom,Funeral doom Russia
Sethian,3,1998,Finland,1998,Hard rock Suomi,Hard rock Suomi Finland
Sexcrement,3,2005,USA,-,Death,Death USA
Shadow Host,3,1993,Russia,1993,Power Thrash,Power Thrash Russia
Shadowdances,3,1995,"Lithuania, United Kingdom",-,Doom Melodic death,Doom Melodic death Lithuania United Kingdom
Sheavy,3,1993,Canada,1993,Doom Stoner,Doom Stoner Canada
Shining Fury,3,2001,Italy,-,Power,Power Italy
Shturm,3,2003,Russia,2003,Black Death,Black Death Russia
Sideburn,3,1997,Sweden,-,Stoner,Stoner Sweden
Silent Voices,3,1995,Finland,1995,Progressive,Progressive Finland
Sinister Realm,3,2008,USA,-,Heavy Doom,Heavy Doom USA
Skeletal Remains,3,2011,USA,2011,Death,Death USA
Smallman,3,2001,Bulgaria,-,Folk Post-metal,Folk Post-metal Bulgaria
Smargroth,3,2006,Slovenia,2006,Black,Black Slovenia
Sorathian Dawn,3,2009,Australia,-,Black Death,Black Death Australia
Sororicide,3,1990,Iceland,1990,Death,Death Iceland
Sorrow Plagues,3,2014,United Kingdom,-,Atmospheric black Post-rock,Atmospheric black Post-rock United Kingdom
Soul Takers,3,1998,Italy,1998,Progressive,Progressive Italy
Soulfractured,3,1999,USA,2006,Progressive,Progressive USA
Spazmosity,3,1994,Sweden,1994,Black Death,Black Death Sweden
Squealer,3,1986,Germany,-,Heavy Power Thrash,Heavy Power Thrash Germany
Status Abnormis,3,2010,Finland,2010,Death Thrash Industrial,Death Thrash Industrial Finland
Stigma,3,2000,Italy,-,Melodic deathcore,Melodic deathcore Italy
Stillborn (POL),3,1997,Poland,1997,Black Death,Black Death Poland
Stone Gods,3,2006,United Kingdom,-,Hard rock Heavy,Hard rock Heavy United Kingdom
Sulphur,3,1999,Norway,1999,Black Death,Black Death Norway
Sumerlands,3,2014,USA,-,Heavy Power,Heavy Power USA
Svartelder,3,2015,Norway,2015,Black,Black Norway
Syrens Call,3,1997,France,-,Progressive Symphonic Power,Progressive Symphonic Power France
The Crown Of Yamhad,3,2015,Syria,2015,Atmospheric folk Symphonic,Atmospheric folk Symphonic Syria
The Deathtrip,3,2007,Norway,-,Black,Black Norway
The Enochian,3,2007,Greece,2007,Melodic black,Melodic black Greece
The Lumberjack Feedback,3,2008,France,-,Doom Sludge,Doom Sludge France
The Order Of Israfel,3,2012,Sweden,2012,Doom,Doom Sweden
The Ox,3,2012,Spain,-,Progressive,Progressive Spain
The Seven Gates,3,2005,France,2005,Death,Death France
The Skull,3,2012,USA,-,Doom,Doom USA
The Undivine,3,2005,Finland,2005,Death Thrash,Death Thrash Finland
The Weakening,3,2007,Sweden,-,Melodic death Djent,Melodic death Djent Sweden
Thornafire,3,1998,Chile,1998,Death,Death Chile
Thought Machine,3,2009,Italy,-,Industrial,Industrial Italy
Throneum,3,1996,Poland,1996,Death Black,Death Black Poland
Thunderbolt,3,2000,Norway,-,Heavy,Heavy Norway
Thy Final Pain,3,2007,Germany,2007,Death,Death Germany
Thy Flesh Consumed,3,2001,Canada,2010,Death,Death Canada
Thy Primordial,3,1994,Sweden,1994,Black,Black Sweden
Today I Caught The Plague,3,2007,Canada,2013,Progressive metalcore Progressive,Progressive metalcore Progressive Canada
Tonic Breed,3,2006,Norway,2006,Groove thrash,Groove thrash Norway
Torrens Conscientium,3,2009,Ukraine,-,Funeral doom,Funeral doom Ukraine
Total Fucking Destruction,3,1999,USA,1999,Grindcore,Grindcore USA
Total Negation,3,2007,Germany,-,Black,Black Germany
Totalt Jävla Mörker,3,1996,Sweden,1996,Blackened hardcore Crust Punk,Blackened hardcore Crust Punk Sweden
Transient,3,2008,USA,-,Grindcore,Grindcore USA
Triton Enigma,3,2005,Sweden,2005,Melodic death Thrash,Melodic death Thrash Sweden
Tsar Bomba,3,2011,France,-,Stoner,Stoner France
Tungsten,3,2011,USA,2011,Progressive rock Progressive,Progressive rock Progressive USA
Unsilence,3,1993,United Kingdom,-,Doom,Doom United Kingdom
Uroboros,3,2012,Argentina,2012,Death Sludge,Death Sludge Argentina
Urskumug,3,2001,Latvia,-,Black,Black Latvia
Vaee Solis,3,2014,Portugal,2014,Blackened doom,Blackened doom Portugal
Valborg,3,2002,Germany,-,Progressive doom Death,Progressive doom Death Germany
Valhall,3,1987,Norway,1987,Black Doom,Black Doom Norway
Valhalla,3,1997,Spain,2010,Heavy Power,Heavy Power Spain
Vandroya,3,2001,Brazil,2001,Progressive power,Progressive power Brazil
Vanisher,3,2010,USA,-,Metalcore,Metalcore USA
Venomous Maximus,3,2010,USA,2010,Doom Heavy,Doom Heavy USA
Vermiform,3,2010,USA,-,Death,Death USA
Verminous,3,2002,Sweden,2002,Death,Death Sweden
Vinterblot,3,2008,Italy,-,Melodic death,Melodic death Italy
Virus IV,3,2006,Belgium,2006,Progressive power Progressive heavy,Progressive power Progressive heavy Belgium
Viuda Negra,3,1996,Ecuador,2010,Progressive,Progressive Ecuador
Voice Of The Soul,3,2007,UAE,2007,Death,Death UAE
Vorkreist,3,1999,France,-,Black Death,Black Death France
Vulcain,3,1981,France,1981,Heavy,Heavy France
Waken Eyes,3,2013,Canada,-,Progressive rock Progressive,Progressive rock Progressive Canada
Walk Through Fire,3,2008,Sweden,2008,Sludge Doom,Sludge Doom Sweden
War,3,1995,Sweden,2001,Black,Black Sweden
Warhorse,3,1996,USA,1996,Doom Stoner,Doom Stoner USA
We All Die (Laughing),3,2013,France,-,Avantgarde Progressive,Avantgarde Progressive France
Whales And Aurora,3,2008,Italy,2008,Atmospheric sludge,Atmospheric sludge Italy
Wijlen Wij,3,2002,Belgium,2014,Funeral doom,Funeral doom Belgium
WildeStarr,3,2003,USA,2003,Heavy,Heavy USA
Wintersoul,3,2006,United Kingdom,-,Black,Black United Kingdom
Witheria,3,1999,Finland,1999,Thrash,Thrash Finland
Wooden Stake,3,2010,USA,-,Death doom,Death doom USA
Wormwood,3,2014,Sweden,2014,Atmospheric black,Atmospheric black Sweden
Wotan,3,1988,Italy,-,Heavy,Heavy Italy
WRVTH,3,2007,USA,2007,Technical death Deathcore Post-metal Hardcore,Technical death Deathcore Post-metal Hardcore USA
X Wild,3,1992,Germany,1996,Heavy,Heavy Germany
XXX Maniak,3,2003,USA,2003,Grindcore,Grindcore USA
Yaotl Mictlan,3,1998,"Mexico, USA",-,Black Folk,Black Folk Mexico USA
Zealotry,3,2005,USA,2005,Death,Death USA
ZX Spectrum,3,2001,Latvia,-,Death ' N' Roll,Death ' N' Roll Latvia
???????,2,2011,Japan,2011,Black,Black Japan
ÆGES,2,2010,USA,-,Alternative,Alternative USA
Ænimus (SWE),2,2009,Sweden,2009,Heavy Power,Heavy Power Sweden
Ö-Nirik,2,2006,France,-,Melodic death Brutal death,Melodic death Brutal death France
2 Wolves,2,2010,Finland,2010,Industrial Symphonic,Industrial Symphonic Finland
A Canorous Quintet,2,1993,Sweden,1999,Melodic death,Melodic death Sweden
Aabsynthum,2,2004,Romania,2004,Black Funeral doom,Black Funeral doom Romania
Abramis Brama,2,1997,Sweden,-,Stoner,Stoner Sweden
Abscession,2,2009,Sweden,2009,Death,Death Sweden
Abstracter,2,2010,USA,-,Black Doom Sludge Crust Punk,Black Doom Sludge Crust Punk USA
Abyssaria,2,1998,Germany,1998,Black Gothic,Black Gothic Germany
Aclla,2,2007,Brazil,-,Heavy,Heavy Brazil
Adaliah,2,2008,USA,2008,Deathcore Melodic hardcore,Deathcore Melodic hardcore USA
Admiral Sir Cloudesley Shovell,2,2008,United Kingdom,-,Psychedelic hard rock,Psychedelic hard rock United Kingdom
Aftershok,2,1996,USA,1996,Heavy,Heavy USA
Agro,2,1994,South Africa,-,Power Thrash,Power Thrash South Africa
Ahamkara,2,2013,United Kingdom,2013,Atmospheric black,Atmospheric black United Kingdom
Aion,2,2013,Switzerland,-,Black,Black Switzerland
Altars,2,2005,Australia,2005,Death,Death Australia
Amnis Nihili,2,2008,Greece,-,Black,Black Greece
Anal Blasphemy,2,2002,Finland,2002,Black,Black Finland
Ancestors Revenge,2,2008,Canada,-,Death,Death Canada
ANJ,2,2003,Russia,2003,Alternative Hard rock,Alternative Hard rock Russia
Antropophobia,2,2009,Russia,-,Atmospheric black Doom,Atmospheric black Doom Russia
Apothecary,2,2012,USA,2012,Death doom,Death doom USA
AraPacis,2,2003,Canada,-,Progressive Doom Hard rock,Progressive Doom Hard rock Canada
Arctic Winter,2,1989,Germany,1989,Power Heavy,Power Heavy Germany
Arkhe,2,1995,Mexico,-,Technical death,Technical death Mexico
Arms,2,2012,USA,2012,Math Grindcore,Math Grindcore USA
Asguard,2,1996,Belarus,-,Melodic death,Melodic death Belarus
Ass To Mouth,2,2004,Poland,2004,Brutal death Grindcore,Brutal death Grindcore Poland
Athelstan,2,2010,United Kingdom,-,Folk,Folk United Kingdom
Atrium Noctis,2,2002,Germany,2002,Melodic black,Melodic black Germany
Aus Der Transzendenz,2,2009,Austria,-,Black,Black Austria
Axevyper,2,2009,Italy,2009,Heavy,Heavy Italy
Axewitch,2,1979,Sweden,-,Heavy,Heavy Sweden
Azoic,2,2011,Iceland,2011,Black,Black Iceland
Azure Agony,2,2006,Italy,-,Progressive,Progressive Italy
Barús,2,2015,France,2015,Progressive death,Progressive death France
Barghest,2,2006,USA,-,Black,Black USA
Beaten To Death,2,2010,Norway,2010,Grindcore,Grindcore Norway
Beholder (ITA),2,1998,Italy,2005,Melodic heavy,Melodic heavy Italy
Belfegor,2,1998,Poland,1998,Black,Black Poland
Bellfast,2,1993,Japan,-,Celtic folk,Celtic folk Japan
Beorn,2,2008,Russia,2008,Power Symphonic,Power Symphonic Russia
Bill Ward,2,1989,United Kingdom,-,Hard rock,Hard rock United Kingdom
Birds Of Prey,2,2006,USA,2006,Sludge Death,Sludge Death USA
Birth Through Gore,2,2007,Greece,-,Brutal death,Brutal death Greece
Black Knight Symfonia,2,2008,Monaco,2008,Gothic Symphonic Power,Gothic Symphonic Power Monaco
Blackfinger,2,2012,USA,-,Doom,Doom USA
Blackwater,2,2011,USA,2011,Heavy Doom,Heavy Doom USA
Blackwood,2,2015,Italy,-,Drone doom Industrial,Drone doom Industrial Italy
Blood Revolt,2,2010,Canada,2010,Black Death,Black Death Canada
Blood Stained Dusk,2,1998,USA,-,Black,Black USA
Boomerang,2,1996,Germany,1996,Heavy Power,Heavy Power Germany
Camel Of Doom,2,2001,United Kingdom,-,Doom Stoner,Doom Stoner United Kingdom
Cap De Craniu,2,2007,Romania,2007,Death Grindcore,Death Grindcore Romania
Cardinals Folly,2,2007,Finland,-,Doom,Doom Finland
Carn Dûm,2,2012,Germany,2012,Black,Black Germany
Carnal Lust,2,1998,France,-,Brutal death,Brutal death France
Carpatica,2,2009,Romania,2009,Pagan black Folk,Pagan black Folk Romania
Catarsis Incarne,2,2002,Costa Rica,-,Death,Death Costa Rica
Cavus,2,2008,Finland,2008,Black,Black Finland
Chaos Magic,2,2015,Chile,-,Symphonic Gothic,Symphonic Gothic Chile
Chaosfear,2,1999,Brazil,1999,Thrash,Thrash Brazil
Chariot,2,1981,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Chariots Of The Gods,2,2007,Canada,2007,Melodic death Metalcore,Melodic death Metalcore Canada
Christgrinder,2,2009,United Kingdom,-,Black Death,Black Death United Kingdom
Cloud Rat,2,2010,USA,2010,Grindcore,Grindcore USA
Coliseum,2,2003,USA,-,Hardcore Post- Hardcore Punk,Hardcore Post- Hardcore Punk USA
Colombian Necktie,2,2010,USA,2010,Sludge Alternative,Sludge Alternative USA
Common Grave,2,1999,Italy,-,Brutal death Black,Brutal death Black Italy
Communion Of Thieves,2,2010,USA,2010,Black Grindcore,Black Grindcore USA
Coprolith,2,2001,Finland,-,Death Black,Death Black Finland
Coven 13,2,1985,USA,1985,Doom,Doom USA
Crehated,2,2005,Italy,-,Death Thrash,Death Thrash Italy
Cretura,2,2010,Norway,2010,Extreme symphonic,Extreme symphonic Norway
Crimson Sun,2,2001,Finland,-,Symphonic,Symphonic Finland
Crom Dubh,2,2003,United Kingdom,2003,Black,Black United Kingdom
Crossbreed,2,1996,USA,-,Industrial,Industrial USA
Cryptal Darkness,2,1993,Australia,1993,Gothic doom Death doom,Gothic doom Death doom Australia
Cryptic Warning,2,2000,USA,2006,Technical death Thrash,Technical death Thrash USA
Dahakara,2,2013,Turkey,2013,Ambient Experimental black,Ambient Experimental black Turkey
Dakesis,2,2008,United Kingdom,-,Progressive power,Progressive power United Kingdom
Dark Arena,2,2004,USA,2004,Power Progressive Thrash,Power Progressive Thrash USA
Dead In The Dirt,2,2008,USA,2014,Grindcore,Grindcore USA
Dead Infection,2,1990,Poland,1990,Deathgrind,Deathgrind Poland
Dead River Runs Dry,2,2012,Australia,-,Black,Black Australia
Deadlands,2,2010,USA,2010,Us power,Us power USA
Deadly Mosh,2,2008,Serbia,-,Thrash,Thrash Serbia
Deafening Silence,2,1997,France,1997,Heavy,Heavy France
Death Of Self,2,2008,USA,2012,Grindcore,Grindcore USA
Death Toll 80k,2,2005,Finland,-,Grindcore,Grindcore Finland
Deathrite,2,2010,Germany,2010,Grindcore,Grindcore Germany
Defender,2,1984,The Netherlands,-,Power Thrash,Power Thrash The Netherlands
Desolate Pathway,2,2013,United Kingdom,2013,Epic doom,Epic doom United Kingdom
Despair (SYR),2,2009,Syria,-,Black,Black Syria
Desperado,2,1988,USA,1988,Heavy,Heavy USA
Despond,2,1995,France,2004,Doom,Doom France
Deuil,2,2012,Belgium,2012,Black Doom Sludge,Black Doom Sludge Belgium
Deus X Machina,2,2012,Argentina,-,Progressive Power,Progressive Power Argentina
Di'Anno,2,1983,United Kingdom,1983,Hard rock Heavy,Hard rock Heavy United Kingdom
Dialectic Soul,2,2000,Belarus,-,Symphonic black Progressive,Symphonic black Progressive Belarus
Dictator,2,2005,Cyprus,2005,Black Funeral doom Dark Ambient,Black Funeral doom Dark Ambient Cyprus
Dissension,2,2007,Canada,-,Melodic death Melodic black,Melodic death Melodic black Canada
Distaste,2,2000,Austria,2000,Grindcore,Grindcore Austria
Doctor Livingstone,2,1998,France,-,Hardcore Black Punk,Hardcore Black Punk France
Doga,2,1989,Czech Republic,1989,Thrash Heavy,Thrash Heavy Czech Republic
Doyle,2,2012,USA,-,Groove metal  Hardcore,Groove metal  Hardcore USA
Dr.X,2,2013,Spain,2013,Heavy,Heavy Spain
Dramatvm,2,2003,Mexico,-,Melodic death Gothic,Melodic death Gothic Mexico
Dreamlost,2,1996,France,1996,Progressive,Progressive France
Dysrider,2,2014,Switzerland,-,Symphonic,Symphonic Switzerland
Dysylumn,2,2010,France,2010,Progressive black Death,Progressive black Death France
E-Force,2,2001,"Canada, France",-,Thrash,Thrash Canada France
Ebonillumini,2,2008,United Kingdom,2008,Avantgarde black,Avantgarde black United Kingdom
Edgedown,2,2008,Germany,-,Heavy,Heavy Germany
Eeriness,2,1996,Switzerland,1996,Heavy Gothic,Heavy Gothic Switzerland
Ehnahre,2,2006,USA,-,Black Death Doom,Black Death Doom USA
Eibon la Furies,2,2005,United Kingdom,2005,Gothic Avantgarde black,Gothic Avantgarde black United Kingdom
Elvira Madigan,2,1995,Sweden,2008,Symphonic black,Symphonic black Sweden
Empires Of Eden,2,2008,Australia,2008,Melodic power,Melodic power Australia
Encorion,2,2007,The Netherlands,-,Viking folk,Viking folk The Netherlands
Entheos (CAN),2,2011,Canada,2011,Black,Black Canada
Epistasis,2,2008,USA,-,Experimental black,Experimental black USA
Eternal Reign,2,1997,Germany,1997,Power,Power Germany
Eternal Sorrow,2,1994,Brazil,-,Gothic doom,Gothic doom Brazil
Ethernity,2,2000,Belgium,2000,Progressive power,Progressive power Belgium
Exhausted Prayer,2,1997,USA,-,Progressive black Progressive death,Progressive black Progressive death USA
Exiled,2,1997,USA,1997,Power Speed Thrash,Power Speed Thrash USA
Felony,2,1992,Switzerland,-,Melodic heavy,Melodic heavy Switzerland
Filii Nigrantium Infernalium,2,1989,Portugal,1989,Black Thrash,Black Thrash Portugal
Final Crusade,2,2011,Switzerland,-,Heavy,Heavy Switzerland
Forces United,2,2013,Russia,2013,Power,Power Russia
Fornicus,2,2013,USA,-,Black,Black USA
Foul Body Autopsy,2,2010,United Kingdom,2010,Death,Death United Kingdom
Freitod,2,2005,Germany,-,Black,Black Germany
Frightmare,2,2002,USA,2002,Death Thrash Grindcore,Death Thrash Grindcore USA
Frozen Winds,2,2007,Cyprus,-,Black,Black Cyprus
Funeral Whore,2,2006,The Netherlands,2006,Death,Death The Netherlands
Gateway To Selfdestruction,2,2013,Germany,-,Black,Black Germany
Gehennah,2,1992,Sweden,1992,Thrash,Thrash Sweden
Genocide Shrines,2,2011,Sri Lanka,-,Black Death,Black Death Sri Lanka
Ghee-Yeh,2,2008,Chile,2008,Heavy,Heavy Chile
Ghost Voyage,2,2008,Finland,-,Death doom,Death doom Finland
Goblin Hovel,2,2010,USA,2010,Folk,Folk USA
God Mother,2,2012,Sweden,-,Grindcore,Grindcore Sweden
Gone Postal,2,2007,Iceland,2007,Death,Death Iceland
Goodbye To Gravity,2,2011,Romania,2015,Melodic metalcore,Melodic metalcore Romania
Gothic Knights,2,1990,USA,1990,Power,Power USA
Grave Upheaval,2,2008,Australia,-,Death,Death Australia
Gravehill,2,2001,USA,2001,Thrash Death,Thrash Death USA
Griffar,2,1997,France,-,Melodic black,Melodic black France
Gverr,2,2007,Albania,2007,Progressive death Death Thrash,Progressive death Death Thrash Albania
Gypsyhawk,2,2008,USA,2015,Heavy,Heavy USA
Hæthen,2,2009,USA,2009,Black,Black USA
Haar,2,2008,United Kingdom,-,Atmospheric black Progressive black,Atmospheric black Progressive black United Kingdom
Hadean,2,2012,USA,2012,Progressive Hardcore Jazz fusion,Progressive Hardcore Jazz fusion USA
Haikai No Ku,2,2012,United Kingdom,-,Doom Stoner,Doom Stoner United Kingdom
Heavydeath,2,2013,Sweden,2013,Death doom,Death doom Sweden
Hegemone,2,2010,Poland,-,Black Post-metal Sludge,Black Post-metal Sludge Poland
Hell Within,2,1998,USA,1998,Metalcore,Metalcore USA
Hemelbestormer,2,2012,Belgium,-,Post-metal,Post-metal Belgium
Herald,2,2000,Estonia,2000,Heavy,Heavy Estonia
Hourswill,2,2009,Portugal,-,Progressive,Progressive Portugal
House Of Low Culture,2,2000,USA,2000,Drone doom Ambient Experimental,Drone doom Ambient Experimental USA
Howling Syn,2,1998,Canada,-,Gothic,Gothic Canada
Human Cull,2,2007,United Kingdom,2007,Grindcore,Grindcore United Kingdom
Hydra Vein,2,1987,United Kingdom,1990,Thrash,Thrash United Kingdom
I Chaos,2,2009,The Netherlands,2009,Brutal death,Brutal death The Netherlands
Iluminato,2,2010,Brazil,-,Gothic,Gothic Brazil
Implore,2,2013,Germany,2013,Grindcore,Grindcore Germany
Inciter,2,2000,Croatia,-,Thrash,Thrash Croatia
Infinitum Obscure,2,2000,Mexico,2000,Death,Death Mexico
Insane,2,1997,France,-,Power Thrash,Power Thrash France
Iskra,2,2002,Canada,2002,Black Crust Punk,Black Crust Punk Canada
Johansson & Speckmann,2,2013,Sweden,-,Death,Death Sweden
Karmaflow,2,2013,The Netherlands,2013,Symphonic,Symphonic The Netherlands
Karyn Crisis' Gospel Of The Witches,2,2009,USA,-,Doom Gothic,Doom Gothic USA
Khaotika,2,2014,USA,2014,Melodic black Gothic,Melodic black Gothic USA
Killers (UK),2,1991,United Kingdom,2003,Heavy,Heavy United Kingdom
King Fear,2,2011,Germany,2011,Black,Black Germany
King's-Evil,2,1989,Japan,-,Thrash,Thrash Japan
Kingdragon,2,2006,Greece,2006,Melodic heavy Hard rock,Melodic heavy Hard rock Greece
Kognitiv Tod,2,2014,USA,-,Black,Black USA
Kolp,2,2007,Hungary,2007,Black Doom,Black Doom Hungary
Korum,2,1999,France,-,Death,Death France
Kragens,2,2000,France,2000,Heavy Power Thrash,Heavy Power Thrash France
Krokmitën,2,1991,Canada,-,Experimental death,Experimental death Canada
Krokodil,2,2011,United Kingdom,2011,Progressive sludge,Progressive sludge United Kingdom
Kultika,2,2008,Romania,-,Black Post-metal,Black Post-metal Romania
Landskap,2,2012,United Kingdom,2012,Doom Psychedelic rock,Doom Psychedelic rock United Kingdom
Last In Line,2,2012,USA,-,Heavy Hard rock,Heavy Hard rock USA
Legend (JE),2,1980,Jersey,1980,New Wave Of british heavy Heavy,New Wave Of british heavy Heavy Jersey
